"site","deployTime_days","nFullDays","coverage_full","nFullAnd240SampGapDays","coverage_fullAndPartial"
ARIK-down,417,97,0.49,143,0.73
ARIK-up,417,10,0.3,20,0.61
BARC-up,170,0,0,0,0
BLUE-down,12,6,0.46,9,0.69
BLUE-up,12,6,0.46,9,0.69
CARI-down,21,9,0.39,16,0.7
CARI-up,21,8,0.35,16,0.7
COMO-down,125,61,0.52,97,0.82
COMO-up,125,63,0.53,99,0.84
CUPE-down,139,42,0.42,70,0.7
CUPE-up,139,44,0.44,71,0.72
GUIL-down,47,16,0.33,26,0.54
GUIL-up,47,10,0.3,17,0.52
HOPB-up,149,82,0.7,97,0.83
KING-down,7,5,0.62,6,0.75
KING-up,238,8,0.57,10,0.71
LECO-down,36,15,0.45,24,0.73
LECO-up,285,42,0.6,54,0.77
LEWI-down,89,39,0.57,49,0.72
LEWI-up,89,53,0.65,64,0.79
MART-down,128,51,0.45,77,0.68
MART-up,142,54,0.47,76,0.67
MAYF-down,265,12,0.39,18,0.58
MAYF-up,316,24,0.51,31,0.66
MCDI-down,128,29,0.36,55,0.69
MCDI-up,128,29,0.37,53,0.68
MCRA-down,29,18,0.6,22,0.73
MCRA-up,68,33,0.51,45,0.69
POSE-down,412,14,0.21,36,0.55
POSE-up,423,20,0.26,44,0.57
PRIN-down,187,44,0.38,84,0.72
PRIN-up,183,45,0.39,84,0.74
PRPO-up,0,0,0,0,0
SUGG-up,127,0,0,0,0
WALK-down,568,77,0.4,125,0.65
WALK-up,568,82,0.44,128,0.68
WLOU-down,178,57,0.38,88,0.59
WLOU-up,178,47,0.36,70,0.54
