"","prop_max_coverage_across_sites","nsites_with_data","nsites_full_coverage","nsites_1440_or_1200"
"2017-12-03",0.36,15,12,14
"2017-12-06",0.36,15,10,14
"2017-12-11",0.36,15,9,13
"2017-12-04",0.35,15,6,10
"2017-12-10",0.35,15,2,6
"2017-12-12",0.35,15,8,11
"2017-12-13",0.35,15,8,11
"2018-02-23",0.35,15,6,13
"2018-02-25",0.34,15,5,11
"2017-12-01",0.33,15,7,12
"2017-12-05",0.33,15,9,12
"2018-01-10",0.33,14,8,12
"2018-01-23",0.33,15,7,13
"2018-03-18",0.33,15,10,10
"2017-12-07",0.32,15,2,9
"2018-01-09",0.32,14,7,10
"2018-01-24",0.32,15,7,8
"2018-02-26",0.32,15,2,9
"2018-03-11",0.32,15,6,10
"2017-12-08",0.31,15,8,8
"2018-01-05",0.31,15,9,10
"2018-02-21",0.31,14,7,9
"2018-03-09",0.31,15,7,11
"2018-03-19",0.31,15,6,8
"2018-03-25",0.31,14,7,11
"2018-03-27",0.31,14,6,6
"2018-03-31",0.31,14,11,11
"2017-12-02",0.3,15,5,6
"2017-12-14",0.3,15,3,9
"2017-12-20",0.3,13,7,7
"2018-01-11",0.3,14,6,11
"2018-03-14",0.3,15,6,6
"2018-03-30",0.3,14,10,10
"2018-01-12",0.29,13,5,10
"2018-02-09",0.29,13,6,9
"2018-02-24",0.29,15,1,7
"2018-03-07",0.29,13,9,11
"2018-03-10",0.29,15,5,7
"2018-03-17",0.29,15,4,10
"2018-03-20",0.29,15,5,9
"2018-03-26",0.29,14,5,9
"2017-12-09",0.28,15,6,10
"2017-12-15",0.28,12,7,9
"2018-01-15",0.28,12,8,9
"2018-02-10",0.28,13,8,9
"2018-02-17",0.28,11,9,11
"2018-02-18",0.28,11,8,11
"2018-02-22",0.28,15,0,7
"2018-02-28",0.28,14,5,7
"2018-03-08",0.28,15,5,9
"2018-03-12",0.28,15,2,6
"2018-03-24",0.28,14,4,7
"2017-12-16",0.27,11,7,11
"2017-12-19",0.27,13,3,10
"2018-01-13",0.27,12,4,9
"2018-01-14",0.27,12,5,10
"2018-01-22",0.27,14,2,6
"2018-02-19",0.27,12,7,8
"2018-03-21",0.27,14,3,4
"2018-03-23",0.27,14,4,6
"2018-03-28",0.27,14,2,3
"2018-03-29",0.27,14,4,9
"2017-11-18",0.26,11,8,10
"2018-01-04",0.26,15,3,6
"2018-01-08",0.26,14,3,8
"2018-01-25",0.26,13,3,4
"2018-02-13",0.26,11,7,9
"2018-02-16",0.26,11,4,11
"2018-03-22",0.26,14,4,7
"2017-11-19",0.25,11,6,7
"2018-01-06",0.25,14,5,7
"2018-01-19",0.25,11,6,6
"2018-02-06",0.25,10,8,8
"2018-02-07",0.25,10,7,10
"2018-02-08",0.25,12,6,6
"2018-02-12",0.25,11,5,8
"2018-02-20",0.25,14,3,5
"2018-03-13",0.25,15,5,5
"2018-03-15",0.25,15,2,4
"2017-11-20",0.24,11,2,3
"2017-11-28",0.24,11,3,9
"2017-11-29",0.24,11,4,6
"2017-12-21",0.24,11,6,8
"2018-01-01",0.24,11,7,9
"2018-01-07",0.24,12,5,7
"2018-01-17",0.24,10,8,8
"2018-01-18",0.24,11,4,4
"2018-01-27",0.24,11,4,10
"2018-02-11",0.24,11,6,8
"2017-11-17",0.23,11,8,8
"2017-11-23",0.23,10,6,9
"2017-11-25",0.23,10,7,9
"2017-11-26",0.23,10,7,9
"2017-12-22",0.23,10,6,7
"2018-01-03",0.23,12,7,7
"2018-01-16",0.23,13,6,6
"2018-01-20",0.23,11,6,6
"2018-01-21",0.23,11,5,7
"2018-02-03",0.23,10,7,9
"2018-02-15",0.23,11,2,5
"2018-02-27",0.23,14,5,7
"2018-03-01",0.23,11,3,7
"2018-03-04",0.23,11,1,7
"2018-03-05",0.23,12,5,7
"2018-03-06",0.23,12,0,7
"2018-03-16",0.23,15,1,4
"2017-11-21",0.22,10,4,9
"2017-11-27",0.22,11,3,6
"2018-01-26",0.22,11,2,8
"2018-01-28",0.22,11,4,6
"2018-01-30",0.22,11,4,4
"2018-02-04",0.22,10,4,9
"2018-02-05",0.22,11,4,6
"2018-02-14",0.22,9,6,8
"2018-03-02",0.22,11,1,6
"2018-06-10",0.22,10,6,8
"2017-11-12",0.21,9,6,8
"2017-11-15",0.21,9,5,5
"2017-11-22",0.21,10,5,5
"2017-11-24",0.21,10,4,5
"2017-12-18",0.21,12,3,3
"2017-12-23",0.21,10,6,6
"2017-12-25",0.21,9,7,7
"2018-01-02",0.21,11,2,7
"2018-01-29",0.21,11,4,6
"2018-02-02",0.21,10,5,7
"2018-04-02",0.21,10,5,7
"2018-04-03",0.21,10,6,8
"2018-06-22",0.21,10,6,8
"2018-06-23",0.21,10,4,8
"2017-09-23",0.2,8,6,8
"2017-11-14",0.2,9,3,7
"2018-03-03",0.2,9,6,6
"2018-04-01",0.2,10,5,7
"2018-05-11",0.2,8,5,5
"2018-06-13",0.2,10,1,5
"2018-06-15",0.2,8,6,8
"2018-06-17",0.2,10,3,7
"2017-02-07",0.19,9,4,6
"2017-02-08",0.19,9,0,0
"2017-09-25",0.19,8,6,6
"2017-10-25",0.19,9,4,4
"2017-11-10",0.19,9,3,7
"2017-11-11",0.19,9,3,5
"2017-11-16",0.19,9,4,6
"2017-12-17",0.19,10,3,5
"2017-12-24",0.19,9,2,7
"2017-12-26",0.19,9,4,6
"2017-12-27",0.19,9,4,6
"2018-04-04",0.19,10,3,6
"2018-04-06",0.19,9,5,7
"2018-06-02",0.19,8,4,8
"2017-02-02",0.18,7,5,7
"2017-10-21",0.18,8,5,7
"2017-10-24",0.18,8,4,4
"2017-11-30",0.18,9,1,7
"2018-04-05",0.18,9,4,7
"2018-05-28",0.18,7,7,7
"2018-05-29",0.18,7,5,7
"2018-05-31",0.18,8,4,6
"2018-06-11",0.18,8,2,6
"2018-06-12",0.18,8,2,4
"2018-06-16",0.18,8,3,5
"2018-06-18",0.18,8,0,3
"2018-06-20",0.18,8,4,6
"2018-06-21",0.18,8,3,3
"2018-06-24",0.18,10,4,6
"2017-02-01",0.17,7,3,6
"2017-02-03",0.17,7,5,5
"2017-02-04",0.17,7,5,5
"2017-09-24",0.17,8,4,4
"2017-10-03",0.17,7,4,6
"2017-10-04",0.17,7,3,7
"2017-10-18",0.17,7,3,5
"2017-10-23",0.17,8,1,4
"2017-10-26",0.17,8,5,5
"2017-10-28",0.17,8,2,7
"2017-10-29",0.17,8,3,7
"2017-10-31",0.17,8,4,5
"2017-11-02",0.17,8,5,5
"2017-11-03",0.17,8,0,5
"2017-11-04",0.17,8,3,7
"2017-11-05",0.17,7,5,6
"2017-11-06",0.17,8,2,6
"2017-11-09",0.17,8,3,7
"2017-11-13",0.17,9,3,4
"2018-02-01",0.17,9,5,6
"2018-04-07",0.17,9,4,4
"2018-04-08",0.17,9,2,5
"2018-05-25",0.17,7,3,5
"2018-05-27",0.17,7,4,7
"2018-05-30",0.17,8,2,4
"2018-06-01",0.17,8,2,6
"2018-06-07",0.17,9,2,7
"2018-06-09",0.17,8,4,6
"2018-06-14",0.17,8,0,6
"2018-06-19",0.17,8,0,4
"2018-06-25",0.17,8,3,5
"2017-02-05",0.16,7,3,5
"2017-02-06",0.16,7,3,5
"2017-09-26",0.16,8,0,4
"2017-10-05",0.16,7,3,4
"2017-10-16",0.16,7,3,5
"2017-10-19",0.16,7,1,4
"2017-10-20",0.16,8,3,5
"2017-10-27",0.16,8,1,5
"2017-10-30",0.16,8,3,5
"2017-12-30",0.16,7,6,6
"2018-01-31",0.16,7,6,6
"2018-05-12",0.16,8,2,2
"2018-06-03",0.16,8,1,3
"2018-06-08",0.16,8,1,3
"2018-06-26",0.16,8,4,6
"2017-10-06",0.15,6,3,4
"2017-10-09",0.15,6,3,3
"2017-10-11",0.15,6,4,5
"2017-10-17",0.15,7,1,5
"2017-10-22",0.15,8,1,3
"2017-11-07",0.15,8,1,5
"2017-11-08",0.15,8,5,5
"2017-12-28",0.15,9,1,4
"2017-12-29",0.15,7,4,6
"2018-04-25",0.15,7,3,5
"2018-04-26",0.15,6,4,6
"2018-05-26",0.15,7,2,4
"2018-06-06",0.15,8,2,4
"2018-06-27",0.15,6,4,6
"2017-10-02",0.14,7,5,5
"2017-10-10",0.14,6,3,5
"2017-10-12",0.14,6,2,5
"2017-10-14",0.14,6,5,5
"2017-10-15",0.14,6,2,6
"2017-11-01",0.14,8,2,2
"2018-04-28",0.14,6,4,4
"2018-04-29",0.14,7,2,6
"2018-05-10",0.14,8,4,4
"2018-06-04",0.14,6,2,4
"2017-09-22",0.13,8,2,3
"2017-09-28",0.13,5,4,4
"2017-10-07",0.13,6,0,4
"2017-10-08",0.13,6,0,5
"2018-04-27",0.13,7,4,4
"2018-05-13",0.12,6,2,4
"2017-05-01",0.11,4,4,4
"2017-05-15",0.11,4,3,3
"2017-05-18",0.11,4,4,4
"2017-05-21",0.11,4,4,4
"2017-09-29",0.11,5,2,2
"2017-09-30",0.11,4,4,4
"2017-10-01",0.11,5,1,3
"2017-10-13",0.11,5,0,5
"2017-12-31",0.11,7,4,4
"2018-04-11",0.11,5,3,3
"2018-04-12",0.11,5,4,4
"2018-04-20",0.11,5,4,4
"2018-04-30",0.11,6,0,0
"2018-05-17",0.11,7,3,3
"2018-05-18",0.11,5,0,4
"2018-05-23",0.11,5,3,3
"2018-05-24",0.11,7,2,2
"2018-06-05",0.11,6,0,0
"2017-05-11",0.1,4,3,3
"2017-05-14",0.1,4,2,4
"2017-05-16",0.1,4,2,4
"2017-05-17",0.1,4,3,3
"2017-05-20",0.1,4,2,4
"2018-04-10",0.1,5,2,4
"2018-04-13",0.1,5,1,3
"2018-04-17",0.1,5,1,3
"2018-04-18",0.1,4,2,4
"2018-04-19",0.1,5,2,4
"2018-04-22",0.1,5,2,4
"2018-05-03",0.1,5,2,4
"2018-05-09",0.1,8,2,2
"2018-05-14",0.1,6,2,2
"2018-05-20",0.1,5,0,3
"2018-05-22",0.1,5,2,3
"2017-05-10",0.09,4,1,4
"2017-05-12",0.09,4,1,4
"2017-05-19",0.09,4,1,4
"2017-05-22",0.09,4,1,3
"2017-09-27",0.09,6,2,2
"2018-04-14",0.09,5,2,2
"2018-04-15",0.09,5,1,1
"2018-04-16",0.09,5,2,2
"2018-04-21",0.09,5,2,2
"2018-05-06",0.09,4,2,2
"2018-06-28",0.09,8,0,0
"2017-03-30",0.08,3,3,3
"2017-05-02",0.08,4,1,1
"2017-05-13",0.08,4,1,1
"2018-04-09",0.08,5,2,2
"2018-04-23",0.08,5,0,2
"2018-04-24",0.08,4,0,0
"2018-05-04",0.08,5,0,2
"2018-05-16",0.08,5,2,2
"2018-05-21",0.08,5,1,1
"2017-03-28",0.07,3,1,3
"2017-03-29",0.07,3,2,2
"2017-03-31",0.07,3,1,3
"2017-05-09",0.07,4,1,1
"2017-05-23",0.07,3,2,3
"2017-05-24",0.07,3,1,2
"2018-05-02",0.07,4,0,0
"2018-05-15",0.07,5,2,2
"2017-03-27",0.06,3,2,2
"2018-05-01",0.06,4,0,2
"2018-05-05",0.06,4,2,2
"2018-05-07",0.06,5,0,0
"2018-05-19",0.06,5,0,0
"2016-08-10",0.05,2,2,2
"2016-08-11",0.05,2,2,2
"2016-08-12",0.05,2,2,2
"2016-08-14",0.05,2,2,2
"2016-08-15",0.05,2,0,0
"2016-08-17",0.05,2,2,2
"2016-08-20",0.05,2,2,2
"2016-08-21",0.05,2,2,2
"2016-08-22",0.05,2,2,2
"2016-08-23",0.05,2,2,2
"2016-08-24",0.05,2,2,2
"2016-08-27",0.05,2,2,2
"2016-08-30",0.05,2,2,2
"2016-11-01",0.05,2,0,0
"2016-11-02",0.05,2,2,2
"2016-11-03",0.05,2,2,2
"2016-11-04",0.05,2,2,2
"2016-11-05",0.05,2,2,2
"2016-11-06",0.05,2,2,2
"2016-11-07",0.05,2,2,2
"2016-11-09",0.05,2,2,2
"2016-11-10",0.05,2,1,1
"2016-11-11",0.05,2,2,2
"2016-11-12",0.05,2,2,2
"2016-11-13",0.05,2,2,2
"2016-11-14",0.05,2,2,2
"2016-11-15",0.05,2,2,2
"2016-11-19",0.05,2,2,2
"2016-11-20",0.05,2,2,2
"2016-11-21",0.05,2,2,2
"2016-11-22",0.05,2,0,0
"2016-11-23",0.05,2,2,2
"2016-11-24",0.05,2,1,1
"2016-11-26",0.05,2,2,2
"2017-03-25",0.05,2,2,2
"2017-03-26",0.05,2,2,2
"2017-05-07",0.05,2,1,2
"2016-08-13",0.04,2,0,2
"2016-08-16",0.04,2,0,0
"2016-08-18",0.04,2,0,2
"2016-08-19",0.04,2,0,0
"2016-08-25",0.04,2,0,0
"2016-08-26",0.04,2,0,2
"2016-08-28",0.04,2,0,2
"2016-08-29",0.04,2,0,2
"2016-08-31",0.04,2,0,2
"2016-11-08",0.04,2,0,0
"2016-11-18",0.04,2,0,2
"2016-11-25",0.04,2,0,2
"2016-11-27",0.04,2,0,1
"2016-11-28",0.04,2,0,0
"2016-11-29",0.04,2,0,2
"2016-11-30",0.04,2,0,0
"2017-03-24",0.04,2,1,1
"2017-05-03",0.04,2,1,1
"2017-05-04",0.04,2,1,1
"2017-05-08",0.04,2,1,1
"2017-05-25",0.04,2,0,0
"2018-05-08",0.04,7,0,0
"2016-11-16",0.03,2,0,0
"2017-03-17",0.03,1,0,0
"2017-03-18",0.03,1,1,1
"2017-03-20",0.03,1,1,1
"2017-03-21",0.03,1,0,0
"2017-03-22",0.03,1,1,1
"2017-03-23",0.03,1,1,1
"2017-04-02",0.03,1,1,1
"2017-04-03",0.03,1,1,1
"2017-04-04",0.03,1,1,1
"2017-04-06",0.03,1,1,1
"2017-04-09",0.03,1,1,1
"2017-04-12",0.03,1,0,0
"2017-04-14",0.03,1,1,1
"2017-04-15",0.03,1,1,1
"2017-04-16",0.03,1,1,1
"2017-04-17",0.03,1,1,1
"2017-04-19",0.03,1,0,0
"2017-04-20",0.03,1,1,1
"2017-04-21",0.03,1,1,1
"2017-04-22",0.03,1,1,1
"2017-04-23",0.03,1,1,1
"2017-04-24",0.03,1,1,1
"2017-04-26",0.03,1,0,0
"2017-04-27",0.03,1,0,0
"2017-04-29",0.03,1,0,0
"2017-04-30",0.03,1,1,1
"2017-05-06",0.03,2,1,1
"2017-05-26",0.03,1,1,1
"2017-05-29",0.03,1,1,1
"2017-05-30",0.03,1,1,1
"2016-08-09",0.02,2,0,0
"2017-03-19",0.02,1,0,1
"2017-04-01",0.02,1,0,0
"2017-04-05",0.02,1,0,0
"2017-04-07",0.02,1,0,1
"2017-04-08",0.02,1,0,1
"2017-04-10",0.02,1,0,1
"2017-04-11",0.02,1,0,1
"2017-04-13",0.02,1,0,1
"2017-04-18",0.02,1,0,1
"2017-04-25",0.02,1,0,0
"2017-04-28",0.02,1,0,1
"2017-05-05",0.02,1,0,0
"2017-05-27",0.02,1,0,1
"2017-05-28",0.02,1,0,0
"2017-05-31",0.02,1,0,1
"2017-09-21",0.02,3,0,0
"2016-11-17",0.01,2,0,0
"2017-03-16",0,1,0,0
